Order_ID,Merchant,Original_Time,Quantity,Item,Details,Price,Subtotal,Discount,Delivery_Fee,Bag_Fee,Platform_Fee,Tip,Total_Incl_Tax,Date,Weekday,Time_24hr
gv5f-rimg,藥膳川燙滷味,3月23日 週六 下午8:37,1,鴨肝,,15,0,0,0,0,0,0,0,2022/03/23,Saturday,20:37
gv5f-rimg,藥膳川燙滷味,3月23日 週六 下午8:37,1,鴨胗,,35,0,0,0,0,0,0,0,2022/03/23,Saturday,20:37
gv5f-rimg,藥膳川燙滷味,3月23日 週六 下午8:37,1,豬粉腸,,45,0,0,0,0,0,0,0,2022/03/23,Saturday,20:37
p1ac-jcu9,士林真味廣東粥 (嘉義民生店),3月22日 週五 下午2:05,1,雞肉粥,,90,0,0,0,0,0,0,0,2022/03/22,Friday,14:05
p1ac-jcu9,士林真味廣東粥 (嘉義民生店),3月22日 週五 下午2:05,1,廣東粥,皮蛋,109,0,0,0,0,0,0,0,2022/03/22,Friday,14:05
p1ac-q61q,士林真味廣東粥 (嘉義民生店),3月18日 週一 下午6:45,1,廣東粥,皮蛋,109,0,0,0,0,0,0,0,2022/03/18,Monday,18:45
e2jj-x776,85度C (嘉義中山店),3月14日 週四 下午12:25,1,甜蜜小犬(片),,66,0,0,0,0,0,0,0,2022/03/14,Thursday,12:25
e2jj-x776,85度C (嘉義中山店),3月14日 週四 下午12:25,1,初露多多綠【冰】,"少冰, 半糖",61,0,0,0,0,0,0,0,2022/03/14,Thursday,12:25
fl1j-tt5h,Tea's原味 (嘉義大雅店),3月12日 週二 下午1:48,1,綠茶多多,"半糖 5分, 去冰",45,0,0,0,0,0,0,0,2022/03/12,Tuesday,13:48
p1ac-cm2s,士林真味廣東粥 (嘉義民生店),3月4日 週一 下午7:17,1,皮蛋瘦肉粥,豬肝,105,0,0,0,0,0,0,0,2022/03/04,Monday,19:17
p1ac-cm2s,士林真味廣東粥 (嘉義民生店),3月4日 週一 下午7:17,1,廣東粥,,90,0,0,0,0,0,0,0,2022/03/04,Monday,19:17
dh03-iq2v,麥味登 (嘉義上海店),3月3日 週日 上午9:23,1,花生厚牛起司滿分堡,加蛋,100,0,0,0,0,0,0,0,2022/03/03,Sunday,09:23
dh03-iq2v,麥味登 (嘉義上海店),3月3日 週日 上午9:23,1,檸檬雞漢堡,加蛋,70,0,0,0,0,0,0,0,2022/03/03,Sunday,09:23
dh03-iq2v,麥味登 (嘉義上海店),3月3日 週日 上午9:23,1,豆漿紅茶【溫 | L】,,35,0,0,0,0,0,0,0,2022/03/03,Sunday,09:23
l4xv-w8d4,麥當勞 (S129 嘉義垂楊店),2月25日 週日 下午12:24,1,套餐-原味麥脆鷄腿 (2塊) Original Chicken McCrispy (2pcs) Meal,"6塊鷄塊+大薯 6pc Chicken McNuggets + Fries (L), 玉米湯 (大) corn soup (l), 無需加價購 no, thanks, 糖醋醬包 sweet sour sauce",297,0,0,0,0,0,0,0,2022/02/25,Sunday,12:24
l4xv-w8d4,麥當勞 (S129 嘉義垂楊店),2月25日 週日 下午12:24,2,蘋果派 Apple Pie,,84,0,0,0,0,0,0,0,2022/02/25,Sunday,12:24
l4xv-w8d4,麥當勞 (S129 嘉義垂楊店),2月25日 週日 下午12:24,1,套餐-麥香魚 Filet-O-Fish Meal,"辣味麥脆鷄腿 (棒腿或大腿 部位恕不指定、更換) Spicy McCrispy (Drumsticks & thighs are distributed randomly), 可口可樂 (中) coca cola (m), 無需加價購 no, thanks",147,0,0,0,0,0,0,0,2022/02/25,Sunday,12:24
ncpa-qwlw,新營輝旺牛肉清湯 (嘉義興業店),2月24日 週六 上午11:39,1,牛肉湯,,150,0,0,0,0,0,0,0,2022/02/24,Saturday,11:39
snu2-ssx7,鹹酥李 (花蓮中山店),2月14日 週三 上午12:18,1,私房鹹酥雞①,,90,0,0,0,0,0,0,0,2022/02/14,Wednesday,00:18
snu2-ssx7,鹹酥李 (花蓮中山店),2月14日 週三 上午12:18,1,鮮魷魚㊵,,70,0,0,0,0,0,0,0,2022/02/14,Wednesday,00:18
snu2-ssx7,鹹酥李 (花蓮中山店),2月14日 週三 上午12:18,1,豆乾②,,35,0,0,0,0,0,0,0,2022/02/14,Wednesday,00:18
snu2-ssx7,鹹酥李 (花蓮中山店),2月14日 週三 上午12:18,1,雞蛋豆腐②,,60,0,0,0,0,0,0,0,2022/02/14,Wednesday,00:18
snu2-ssx7,鹹酥李 (花蓮中山店),2月14日 週三 上午12:18,1,芋籤粿③,,35,0,0,0,0,0,0,0,2022/02/14,Wednesday,00:18
snu2-ssx7,鹹酥李 (花蓮中山店),2月14日 週三 上午12:18,1,【免費配料】炸蒜頭,,0,0,0,0,0,0,0,0,2022/02/14,Wednesday,00:18
snu2-ssx7,鹹酥李 (花蓮中山店),2月14日 週三 上午12:18,1,四季豆,,60,0,0,0,0,0,0,0,2022/02/14,Wednesday,00:18
b4py-pw2e,茶朵木 (花蓮國聯店),2月13日 週二 下午10:36,1,青蛙撞奶,完全去冰,65,0,0,0,0,0,0,0,2022/02/13,Tuesday,22:36
b4py-pw2e,茶朵木 (花蓮國聯店),2月13日 週二 下午10:36,1,青蛙撞奶,微冰,65,0,0,0,0,0,0,0,2022/02/13,Tuesday,22:36
b4py-pw2e,茶朵木 (花蓮國聯店),2月13日 週二 下午10:36,1,紅茶拿鐵,"完全去冰, 半糖, 加珍珠",65,0,0,0,0,0,0,0,2022/02/13,Tuesday,22:36
wbkv-iwce,早安有喜 (台中博館店),2月4日 週日 上午8:18,1,德式香腸-脆捲餅,,70,0,0,0,0,0,0,0,2022/02/04,Sunday,08:18
wbkv-iwce,早安有喜 (台中博館店),2月4日 週日 上午8:18,1,田園蔬菜-脆捲餅,正常,60,0,0,0,0,0,0,0,2022/02/04,Sunday,08:18
